,emotion_tags,social_tags
2 Cool 4 Skool,"[('winter', 48), ('must-listen', 65), ('pop art', 36), ('autumnsongs', 12), ('sing along with me', 70), ('aterciopelados - no necesito', 33), ('cow', 22), ('immediatly grabbed my attention', 16), ('makes me a jolly little boy', 19), ('atlantic starr love crazy', 86)]","[('almost dissonant guitar', 23), ('soulrnb', 66), ('listen reaaaaally loud', 87), ('leccaciuffi', 96), ('amazingness', 32), ('to remember forever', 77), ('maar niet zo mooi als 2007', 53), ('drag queen', 50), ('philly local', 41), ('head-boppin', 18)]"
WINGS,"[('winter', 21), ('must-listen', 100), ('pop art', 4), ('autumnsongs', 23), ('sing along with me', 52), ('aterciopelados - no necesito', 81), ('cow', 14), ('immediatly grabbed my attention', 42), ('makes me a jolly little boy', 37), ('atlantic starr love crazy', 73)]","[('almost dissonant guitar', 78), ('soulrnb', 59), ('listen reaaaaally loud', 70), ('leccaciuffi', 41), ('amazingness', 87), ('to remember forever', 96), ('maar niet zo mooi als 2007', 12), ('drag queen', 60), ('philly local', 28), ('head-boppin', 39)]"
2 Cool 4 Skool,"[('winter', 60), ('must-listen', 81), ('pop art', 11), ('autumnsongs', 78), ('sing along with me', 39), ('aterciopelados - no necesito', 78), ('cow', 24), ('immediatly grabbed my attention', 44), ('makes me a jolly little boy', 19), ('atlantic starr love crazy', 30)]","[('almost dissonant guitar', 15), ('soulrnb', 98), ('listen reaaaaally loud', 92), ('leccaciuffi', 77), ('amazingness', 48), ('to remember forever', 69), ('maar niet zo mooi als 2007', 50), ('drag queen', 28), ('philly local', 63), ('head-boppin', 98)]"
Boy In Luv (Japanese Ver.),"[('winter', 47), ('must-listen', 95), ('pop art', 65), ('autumnsongs', 19), ('sing along with me', 13), ('aterciopelados - no necesito', 79), ('cow', 29), ('immediatly grabbed my attention', 26), ('makes me a jolly little boy', 99), ('atlantic starr love crazy', 68)]","[('almost dissonant guitar', 47), ('soulrnb', 49), ('listen reaaaaally loud', 53), ('leccaciuffi', 64), ('amazingness', 70), ('to remember forever', 79), ('maar niet zo mooi als 2007', 43), ('drag queen', 61), ('philly local', 11), ('head-boppin', 64)]"
WAKE UP,"[('winter', 37), ('must-listen', 87), ('pop art', 21), ('autumnsongs', 95), ('sing along with me', 98), ('aterciopelados - no necesito', 53), ('cow', 31), ('immediatly grabbed my attention', 47), ('makes me a jolly little boy', 44), ('atlantic starr love crazy', 7)]","[('almost dissonant guitar', 80), ('soulrnb', 50), ('listen reaaaaally loud', 20), ('leccaciuffi', 62), ('amazingness', 66), ('to remember forever', 14), ('maar niet zo mooi als 2007', 22), ('drag queen', 37), ('philly local', 72), ('head-boppin', 76)]"
Invasion of Privacy,"[('winter', 42), ('must-listen', 69), ('pop art', 34), ('autumnsongs', 11), ('sing along with me', 18), ('aterciopelados - no necesito', 22), ('cow', 41), ('immediatly grabbed my attention', 64), ('makes me a jolly little boy', 28), ('atlantic starr love crazy', 18)]","[('almost dissonant guitar', 21), ('soulrnb', 71), ('listen reaaaaally loud', 38), ('leccaciuffi', 44), ('amazingness', 76), ('to remember forever', 89), ('maar niet zo mooi als 2007', 81), ('drag queen', 11), ('philly local', 34), ('head-boppin', 8)]"
"Gangsta Bitch Music, Vol. 1 (Promo CD)","[('winter', 93), ('must-listen', 12), ('pop art', 30), ('autumnsongs', 56), ('sing along with me', 85), ('aterciopelados - no necesito', 62), ('cow', 94), ('immediatly grabbed my attention', 77), ('makes me a jolly little boy', 97), ('atlantic starr love crazy', 63)]","[('almost dissonant guitar', 69), ('soulrnb', 35), ('listen reaaaaally loud', 50), ('leccaciuffi', 12), ('amazingness', 38), ('to remember forever', 93), ('maar niet zo mooi als 2007', 17), ('drag queen', 48), ('philly local', 34), ('head-boppin', 78)]"
Voicenotes,"[('winter', 91), ('must-listen', 18), ('pop art', 7), ('autumnsongs', 1), ('sing along with me', 60), ('aterciopelados - no necesito', 87), ('cow', 48), ('immediatly grabbed my attention', 42), ('makes me a jolly little boy', 48), ('atlantic starr love crazy', 10)]","[('almost dissonant guitar', 89), ('soulrnb', 37), ('listen reaaaaally loud', 87), ('leccaciuffi', 89), ('amazingness', 97), ('to remember forever', 88), ('maar niet zo mooi als 2007', 43), ('drag queen', 15), ('philly local', 59), ('head-boppin', 55)]"
Unreleased Songs,"[('winter', 87), ('must-listen', 60), ('pop art', 52), ('autumnsongs', 88), ('sing along with me', 21), ('aterciopelados - no necesito', 81), ('cow', 65), ('immediatly grabbed my attention', 86), ('makes me a jolly little boy', 82), ('atlantic starr love crazy', 52)]","[('almost dissonant guitar', 86), ('soulrnb', 40), ('listen reaaaaally loud', 59), ('leccaciuffi', 18), ('amazingness', 17), ('to remember forever', 48), ('maar niet zo mooi als 2007', 52), ('drag queen', 62), ('philly local', 81), ('head-boppin', 89)]"
A Head Full of Dreams,"[('winter', 8), ('must-listen', 89), ('pop art', 38), ('autumnsongs', 93), ('sing along with me', 64), ('aterciopelados - no necesito', 65), ('cow', 52), ('immediatly grabbed my attention', 28), ('makes me a jolly little boy', 73), ('atlantic starr love crazy', 34)]","[('almost dissonant guitar', 94), ('soulrnb', 99), ('listen reaaaaally loud', 31), ('leccaciuffi', 23), ('amazingness', 70), ('to remember forever', 64), ('maar niet zo mooi als 2007', 64), ('drag queen', 38), ('philly local', 82), ('head-boppin', 100)]"
A Rush of Blood to the Head,"[('winter', 23), ('must-listen', 43), ('pop art', 23), ('autumnsongs', 96), ('sing along with me', 91), ('aterciopelados - no necesito', 68), ('cow', 9), ('immediatly grabbed my attention', 73), ('makes me a jolly little boy', 25), ('atlantic starr love crazy', 68)]","[('almost dissonant guitar', 69), ('soulrnb', 37), ('listen reaaaaally loud', 65), ('leccaciuffi', 17), ('amazingness', 55), ('to remember forever', 82), ('maar niet zo mooi als 2007', 85), ('drag queen', 71), ('philly local', 46), ('head-boppin', 48)]"
iTunes Festival: London 2011,"[('winter', 44), ('must-listen', 62), ('pop art', 13), ('autumnsongs', 34), ('sing along with me', 73), ('aterciopelados - no necesito', 50), ('cow', 79), ('immediatly grabbed my attention', 74), ('makes me a jolly little boy', 4), ('atlantic starr love crazy', 16)]","[('almost dissonant guitar', 64), ('soulrnb', 10), ('listen reaaaaally loud', 9), ('leccaciuffi', 55), ('amazingness', 27), ('to remember forever', 83), ('maar niet zo mooi als 2007', 31), ('drag queen', 25), ('philly local', 42), ('head-boppin', 96)]"
A Rush of Blood to the Head,"[('winter', 98), ('must-listen', 79), ('pop art', 75), ('autumnsongs', 17), ('sing along with me', 5), ('aterciopelados - no necesito', 61), ('cow', 33), ('immediatly grabbed my attention', 96), ('makes me a jolly little boy', 55), ('atlantic starr love crazy', 53)]","[('almost dissonant guitar', 24), ('soulrnb', 10), ('listen reaaaaally loud', 52), ('leccaciuffi', 29), ('amazingness', 51), ('to remember forever', 63), ('maar niet zo mooi als 2007', 97), ('drag queen', 41), ('philly local', 66), ('head-boppin', 40)]"
Viva La Vida or Death and All His Friends,"[('winter', 94), ('must-listen', 23), ('pop art', 14), ('autumnsongs', 20), ('sing along with me', 64), ('aterciopelados - no necesito', 1), ('cow', 17), ('immediatly grabbed my attention', 36), ('makes me a jolly little boy', 82), ('atlantic starr love crazy', 38)]","[('almost dissonant guitar', 71), ('soulrnb', 32), ('listen reaaaaally loud', 94), ('leccaciuffi', 52), ('amazingness', 65), ('to remember forever', 19), ('maar niet zo mooi als 2007', 18), ('drag queen', 49), ('philly local', 11), ('head-boppin', 84)]"
X&Y,"[('winter', 90), ('must-listen', 73), ('pop art', 9), ('autumnsongs', 27), ('sing along with me', 87), ('aterciopelados - no necesito', 22), ('cow', 73), ('immediatly grabbed my attention', 25), ('makes me a jolly little boy', 20), ('atlantic starr love crazy', 8)]","[('almost dissonant guitar', 61), ('soulrnb', 4), ('listen reaaaaally loud', 48), ('leccaciuffi', 84), ('amazingness', 24), ('to remember forever', 36), ('maar niet zo mooi als 2007', 23), ('drag queen', 83), ('philly local', 19), ('head-boppin', 54)]"
A Rush of Blood to the Head,"[('winter', 46), ('must-listen', 10), ('pop art', 17), ('autumnsongs', 9), ('sing along with me', 86), ('aterciopelados - no necesito', 18), ('cow', 47), ('immediatly grabbed my attention', 84), ('makes me a jolly little boy', 18), ('atlantic starr love crazy', 6)]","[('almost dissonant guitar', 39), ('soulrnb', 13), ('listen reaaaaally loud', 4), ('leccaciuffi', 50), ('amazingness', 17), ('to remember forever', 83), ('maar niet zo mooi als 2007', 20), ('drag queen', 86), ('philly local', 59), ('head-boppin', 27)]"
Brothers & Sisters,"[('winter', 37), ('must-listen', 16), ('pop art', 74), ('autumnsongs', 8), ('sing along with me', 89), ('aterciopelados - no necesito', 42), ('cow', 21), ('immediatly grabbed my attention', 9), ('makes me a jolly little boy', 48), ('atlantic starr love crazy', 71)]","[('almost dissonant guitar', 67), ('soulrnb', 51), ('listen reaaaaally loud', 64), ('leccaciuffi', 31), ('amazingness', 11), ('to remember forever', 96), ('maar niet zo mooi als 2007', 67), ('drag queen', 75), ('philly local', 43), ('head-boppin', 52)]"
Safety [EP],"[('winter', 67), ('must-listen', 59), ('pop art', 21), ('autumnsongs', 89), ('sing along with me', 28), ('aterciopelados - no necesito', 3), ('cow', 72), ('immediatly grabbed my attention', 35), ('makes me a jolly little boy', 63), ('atlantic starr love crazy', 90)]","[('almost dissonant guitar', 73), ('soulrnb', 57), ('listen reaaaaally loud', 41), ('leccaciuffi', 36), ('amazingness', 16), ('to remember forever', 89), ('maar niet zo mooi als 2007', 87), ('drag queen', 55), ('philly local', 46), ('head-boppin', 16)]"
Collaborations,"[('winter', 47), ('must-listen', 74), ('pop art', 37), ('autumnsongs', 42), ('sing along with me', 97), ('aterciopelados - no necesito', 15), ('cow', 78), ('immediatly grabbed my attention', 39), ('makes me a jolly little boy', 18), ('atlantic starr love crazy', 13)]","[('almost dissonant guitar', 51), ('soulrnb', 61), ('listen reaaaaally loud', 57), ('leccaciuffi', 100), ('amazingness', 28), ('to remember forever', 50), ('maar niet zo mooi als 2007', 7), ('drag queen', 99), ('philly local', 1), ('head-boppin', 47)]"
Live In Buenos Aires,"[('winter', 60), ('must-listen', 86), ('pop art', 66), ('autumnsongs', 51), ('sing along with me', 10), ('aterciopelados - no necesito', 61), ('cow', 79), ('immediatly grabbed my attention', 57), ('makes me a jolly little boy', 48), ('atlantic starr love crazy', 55)]","[('almost dissonant guitar', 92), ('soulrnb', 6), ('listen reaaaaally loud', 100), ('leccaciuffi', 63), ('amazingness', 73), ('to remember forever', 55), ('maar niet zo mooi als 2007', 10), ('drag queen', 82), ('philly local', 17), ('head-boppin', 92)]"
Violet Hill,"[('winter', 4), ('must-listen', 49), ('pop art', 37), ('autumnsongs', 57), ('sing along with me', 24), ('aterciopelados - no necesito', 48), ('cow', 65), ('immediatly grabbed my attention', 69), ('makes me a jolly little boy', 89), ('atlantic starr love crazy', 50)]","[('almost dissonant guitar', 43), ('soulrnb', 50), ('listen reaaaaally loud', 50), ('leccaciuffi', 33), ('amazingness', 61), ('to remember forever', 72), ('maar niet zo mooi als 2007', 5), ('drag queen', 31), ('philly local', 43), ('head-boppin', 80)]"
Trouble ‒ Norwegian Live EP,"[('winter', 36), ('must-listen', 54), ('pop art', 47), ('autumnsongs', 96), ('sing along with me', 73), ('aterciopelados - no necesito', 8), ('cow', 56), ('immediatly grabbed my attention', 65), ('makes me a jolly little boy', 56), ('atlantic starr love crazy', 82)]","[('almost dissonant guitar', 46), ('soulrnb', 15), ('listen reaaaaally loud', 54), ('leccaciuffi', 90), ('amazingness', 11), ('to remember forever', 31), ('maar niet zo mooi als 2007', 43), ('drag queen', 40), ('philly local', 62), ('head-boppin', 51)]"
Views,"[('winter', 3), ('must-listen', 14), ('pop art', 37), ('autumnsongs', 51), ('sing along with me', 23), ('aterciopelados - no necesito', 8), ('cow', 67), ('immediatly grabbed my attention', 84), ('makes me a jolly little boy', 21), ('atlantic starr love crazy', 26)]","[('almost dissonant guitar', 37), ('soulrnb', 41), ('listen reaaaaally loud', 97), ('leccaciuffi', 19), ('amazingness', 87), ('to remember forever', 70), ('maar niet zo mooi als 2007', 56), ('drag queen', 73), ('philly local', 18), ('head-boppin', 28)]"
More Life,"[('winter', 96), ('must-listen', 94), ('pop art', 34), ('autumnsongs', 63), ('sing along with me', 60), ('aterciopelados - no necesito', 12), ('cow', 46), ('immediatly grabbed my attention', 41), ('makes me a jolly little boy', 21), ('atlantic starr love crazy', 16)]","[('almost dissonant guitar', 60), ('soulrnb', 35), ('listen reaaaaally loud', 63), ('leccaciuffi', 14), ('amazingness', 72), ('to remember forever', 30), ('maar niet zo mooi als 2007', 66), ('drag queen', 57), ('philly local', 41), ('head-boppin', 72)]"
Dark Lane Demo Tapes,"[('winter', 26), ('must-listen', 76), ('pop art', 6), ('autumnsongs', 92), ('sing along with me', 83), ('aterciopelados - no necesito', 32), ('cow', 28), ('immediatly grabbed my attention', 24), ('makes me a jolly little boy', 49), ('atlantic starr love crazy', 75)]","[('almost dissonant guitar', 69), ('soulrnb', 83), ('listen reaaaaally loud', 14), ('leccaciuffi', 75), ('amazingness', 32), ('to remember forever', 60), ('maar niet zo mooi als 2007', 68), ('drag queen', 80), ('philly local', 58), ('head-boppin', 55)]"
Thank Me Later,"[('winter', 38), ('must-listen', 85), ('pop art', 36), ('autumnsongs', 17), ('sing along with me', 42), ('aterciopelados - no necesito', 1), ('cow', 62), ('immediatly grabbed my attention', 47), ('makes me a jolly little boy', 59), ('atlantic starr love crazy', 83)]","[('almost dissonant guitar', 81), ('soulrnb', 17), ('listen reaaaaally loud', 67), ('leccaciuffi', 57), ('amazingness', 58), ('to remember forever', 89), ('maar niet zo mooi als 2007', 63), ('drag queen', 15), ('philly local', 31), ('head-boppin', 57)]"
Scorpion,"[('winter', 45), ('must-listen', 57), ('pop art', 18), ('autumnsongs', 60), ('sing along with me', 10), ('aterciopelados - no necesito', 2), ('cow', 14), ('immediatly grabbed my attention', 59), ('makes me a jolly little boy', 24), ('atlantic starr love crazy', 47)]","[('almost dissonant guitar', 81), ('soulrnb', 84), ('listen reaaaaally loud', 60), ('leccaciuffi', 49), ('amazingness', 63), ('to remember forever', 78), ('maar niet zo mooi als 2007', 41), ('drag queen', 62), ('philly local', 73), ('head-boppin', 54)]"
Scorpion,"[('winter', 23), ('must-listen', 100), ('pop art', 14), ('autumnsongs', 38), ('sing along with me', 38), ('aterciopelados - no necesito', 22), ('cow', 47), ('immediatly grabbed my attention', 45), ('makes me a jolly little boy', 66), ('atlantic starr love crazy', 62)]","[('almost dissonant guitar', 87), ('soulrnb', 88), ('listen reaaaaally loud', 87), ('leccaciuffi', 95), ('amazingness', 43), ('to remember forever', 57), ('maar niet zo mooi als 2007', 33), ('drag queen', 10), ('philly local', 29), ('head-boppin', 23)]"
Thank Me Later,"[('winter', 61), ('must-listen', 48), ('pop art', 71), ('autumnsongs', 48), ('sing along with me', 45), ('aterciopelados - no necesito', 20), ('cow', 35), ('immediatly grabbed my attention', 65), ('makes me a jolly little boy', 19), ('atlantic starr love crazy', 13)]","[('almost dissonant guitar', 90), ('soulrnb', 13), ('listen reaaaaally loud', 55), ('leccaciuffi', 61), ('amazingness', 28), ('to remember forever', 73), ('maar niet zo mooi als 2007', 19), ('drag queen', 42), ('philly local', 83), ('head-boppin', 72)]"
Born Successful,"[('winter', 76), ('must-listen', 45), ('pop art', 89), ('autumnsongs', 40), ('sing along with me', 30), ('aterciopelados - no necesito', 37), ('cow', 71), ('immediatly grabbed my attention', 3), ('makes me a jolly little boy', 77), ('atlantic starr love crazy', 27)]","[('almost dissonant guitar', 55), ('soulrnb', 72), ('listen reaaaaally loud', 61), ('leccaciuffi', 74), ('amazingness', 13), ('to remember forever', 38), ('maar niet zo mooi als 2007', 100), ('drag queen', 9), ('philly local', 22), ('head-boppin', 17)]"
